1,94,3,653,4569,42,1182,664,16,2744,1314,2,195,21815,26,356,1331,359,58,0,0,
0,1,2,2171,0,382,1,16,29,1588,0,323,29,939,18,926,0,0,0,0,0,
3,178,20474,1823,213,10,178,7,78,708,1823,10,0,0,0,0,0,0,0,0,0,
1,13,39,829,1268,177,2353,296,118,2,257,0,1,258,39,3,17795,177,159,0,0,
2,8,2326,161,0,12527,12528,37,161,12527,12528,48,17,67,0,225,37,109,0,0,0,
4,568,71,3751,2527,0,2519,7,78,671,9,28,96,94,51,863,45,9,0,0,0,
3,97,24,869,444,152,18732,168,499,66,1309,5302,66,10,0,869,444,152,0,0,0,
0,4,11782,3133,0,1246,1748,11783,1167,2533,1,88,18535,8892,11,4148,0,18536,3424,3736,0,
4,13,125,1096,8,2399,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,19,32,185,1451,331,964,3,21498,1451,76,2,21499,13085,21500,0,19,32,60,0,0,
4,13,19016,19017,19018,4,5,22,4,2285,193,6,0,0,0,0,0,0,0,0,0,
4,381,116,315,111,381,116,315,7,394,5244,18396,3373,29,34,72,2696,396,1698,0,0,
4,19,5211,5212,149,1034,12,6056,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,620,9028,11,7284,2,5,7285,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1626,255,3,234,714,159,5537,1311,137,85,0,54,15,85,3,1391,396,20611,1010,0,
0,352,12232,4124,6,1,16,21,352,24,12232,0,12233,1907,6,4,36,2436,23,4,78,
0,7431,5,1871,506,19796,0,6315,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,47,10,118,411,1332,0,10,1,10,398,106,10,118,411,1332,0,10,60,2,1,
4,1112,5,57,203,1199,9,1112,595,5,57,32,7,203,1199,9,169,296,203,24,0,
3,22992,22993,133,70,4000,13615,22994,7344,945,6271,6670,7246,1703,13616,0,0,0,0,0,0,
4,23,2928,134,2429,18,7356,3478,0,6,842,4,74,98,0,2538,0,0,0,0,0,
4,2916,19599,81,96,19600,1485,19601,1987,13,34,21,81,1987,50,4,9,12283,0,0,0,
0,2523,11680,18,116,11681,1322,6,1,2,2523,63,579,130,3106,11680,18,116,11682,0,0,
4,20701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,262,211,3559,12790,2283,7235,1125,472,0,0,0,0,0,0,0,0,0,0,0,0,
4,1,0,1102,42,1,7,2978,3431,268,6005,3,4137,1102,135,158,347,2116,1,35,0,
0,9304,4207,6342,19,32,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,13,4,5,53,1327,9014,0,211,181,707,6,12162,15,666,26,370,19346,0,0,0,
4,282,282,282,6389,6032,1,16,21,2234,423,225,20384,37,242,725,0,0,0,0,0,
2,1379,213,1354,868,1679,435,10,125,2342,2921,9,889,251,4344,21471,3,0,0,0,0,
1,536,1220,82,17,365,10,722,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,129,47,24,14,108,73,518,73,11,18667,7213,274,137,34,4172,18668,37,2,66,0,
1,13414,22361,1667,0,2,9709,22362,124,1,77,1580,22363,1,0,13414,22364,6521,2,1667,0,
4,41,14,19054,3456,22,9046,490,9046,150,32,2182,510,3128,0,0,0,0,0,0,0,
1,6069,177,133,33,635,139,285,33,229,139,6070,11663,114,285,33,881,11664,2666,0,0,
3,956,935,39,1266,76,12576,7546,182,9390,742,4307,216,0,0,0,0,0,0,0,0,
4,97,2503,1813,7618,1821,4,0,1435,7619,11600,17,27,787,7618,38,1388,379,0,479,0,
0,698,18219,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,46,41,33,1280,71,9549,172,30,2,706,5567,2454,1,67,54,9550,9,5567,12862,0,
1,172,215,398,1966,39,5,25,18,10,172,215,398,1966,39,5,25,18,10,0,0,
1,9319,2932,641,365,10,259,36,105,0,0,0,0,0,0,0,0,0,0,0,0,
4,69,650,20888,38,90,138,698,510,76,7667,1202,49,257,528,69,0,0,0,0,0,
2,24,87,0,419,8,13084,91,118,6533,328,0,2,283,0,987,30,283,0,0,0,
3,6255,7844,22073,2722,2,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1435,0,14,13,71,1715,1435,687,1435,3179,1435,1870,1435,68,64,187,0,9118,25,0,
1,94,3,641,41,33,62,52,3,23,16,52,8,52,10,0,0,0,0,0,0,
0,1248,3504,0,1380,8,3224,1514,73,293,1534,602,3,24,19988,22,3,176,0,0,0,
0,2422,288,2,4,4304,3902,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,21400,1026,631,4126,173,531,125,2629,1,23,1923,3,173,531,323,0,0,0,0,0,
3,703,701,3921,12932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,171,899,3475,5973,1678,4,4305,1875,14,0,0,0,0,0,0,0,0,0,0,0,
1,3798,130,21364,636,2441,2144,7070,3,1314,2,693,270,2,9418,3357,76,0,0,0,0,
0,4116,227,256,125,1376,12125,205,19286,0,227,305,1344,0,210,3826,0,0,0,0,0,
0,13035,3964,9647,1855,14,1642,13035,3964,9647,2678,4,0,40,21383,0,0,0,0,0,0,
1,39,3,6309,7639,1230,527,98,2330,631,39,3,60,12782,126,1992,1049,1331,94,12,0,
2,353,12,3539,431,99,4,6,137,42,9,689,4793,273,13299,26,22072,0,0,0,0,
4,79,917,962,440,4130,18337,464,18338,1,1610,229,1081,26,602,0,0,0,0,0,0,
0,323,0,11534,197,210,18049,2248,8742,234,59,737,193,59,8743,1,192,2,0,0,0,
4,18088,982,96,18089,18090,2253,8,1,64,106,223,18091,3069,0,18092,0,0,0,0,0,
2,13095,48,28,356,1510,6538,1953,28,13095,214,6,2,5,1953,89,0,0,0,0,0,
2,195,1962,7289,2908,458,1259,922,278,0,37,195,1962,7289,2908,458,0,0,0,0,0,
4,353,600,20424,0,2832,2602,55,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,6363,119,1376,232,20184,20185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,5,140,203,9,5,17,615,1081,19844,227,1995,5,17,1019,4623,19845,0,0,0,0,
2,13,22,19336,7346,2493,18,93,754,315,173,4240,120,19337,9119,12158,19338,280,9119,12158,0,
4,401,8,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1963,166,175,7679,42,1146,41,33,195,2992,876,881,912,204,51,175,7679,0,0,0,
4,1271,905,44,2199,7327,76,0,9096,1188,8,6212,0,274,394,604,563,467,2,742,0,
3,3666,17864,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,880,795,5482,1,113,0,300,6364,128,61,880,0,692,795,8,89,246,61,576,0,
4,9518,7649,14,23,9518,7649,62,170,54,62,107,2711,305,369,3,6,444,242,26,0,
2,23,1955,22,265,0,1750,10,37,38,125,1751,56,102,1369,0,0,0,0,0,0,
3,5600,0,14,5600,7729,2466,4910,121,1168,21284,21285,4,1092,5600,4910,0,0,0,0,0,
1,1,4,1908,3,163,1,298,11,136,15,22,2168,19643,4,3449,19644,0,12304,101,136,
0,506,171,20013,24,12456,11,5465,5466,5467,20014,326,24,12456,0,0,0,0,0,0,0,
